Sakoen,Pronunciation,Part of speech,English
evhkabksa,/eɸkabksa/,adj.,last (final); last (previous)
evhnakso,/eɸnakso/,v.,spread; scatter
evhpib,/eɸpib/,v.,sail; cruise
evhpis,/eɸpis/,nan.,boyfriend
evhsem,/eɸsem/,nin.,nursery
evhsisub,/eɸsisub/,nin.,volume
evhvhaos,/eɸɸaos/,nin.,peak
evksa,/evksa/,nin.,premise; thesis
evksu,/evksu/,nin.,flag
evod,/evod/,nin.,archipelago
evrut,/evɾut/ [evɯut],adj.,extinct
evshasot,/evʃasot/,nin.,shrub; bush
evtejol,/evteɟoʎ/,nin.,void
evvhojiv,/evɸoɟiv/,v.,cause; induce; provoke; exacerbate
evvhojivan,/evɸoɟivan/,nin.,cause
evvhur,/evɸuɾ/,adj.,immune; exempt
ez,/eθ/ [es],v.,feel (sense by touch); feel (examine by touch)
ezabsin,/eθabsin/,adj.,custom
ezadis,/eθadis/,v.,freeze
ezadiso,/eθadiso/,nin.,frost
ezamso,/eθamso/,nin.,lock
ezjebzun,/eθɟebθun/,nin.,coal; charcoal
ezker,/eθkeɾ/,nan.,skeptic
ezkid,/eθkid/,nin.,oyster
ezliriz,/eθʎiɾiθ/ [eθʎiɾis],nan.,animal; creature; organism; pet
ezliriz to,/eθʎiɾiθ to/ [eθʎiɾis to],nan.,wildlife
ezma,/eθma/,adj.,holy; sacred
ezma eshot,/eθma eʃot/,nin.,crusade
ezmudpui,/eθmudpuɟ/,nin.,quality; essence
ezpobub,/eθpobub/,nin.,prison; jail
ezur,/eθuɾ/,nin.,rationale
ga,/ɣa/,det.,both
ga,/ɣa/,det.,the; a
gablizi,/ɣabʎiθi/,v.,manipulate
gad,/ɣad/,nin.,hat; helmet
gadksa,/ɣadksa/,nan.,cynic
gadzikse,/ɣadθikse/,v.,reach; achieve; accomplish; work (have desired result)
gagila,/ɣaɣiʎa/,part.,undefined
gaibed,/ɣaɟbed/,nin.,flu
gal,/ɣaʎ/,nin.,sewage
galash,/ɣaʎaʃ/,v.,drift
galui,/ɣaʎuɟ/,nin.,sewer
gamkei,/ɣamkeɟ/,v.,capture; seize
gamksujut,/ɣamksuɟut/,nin.,evening
gamlebrit,/ɣamʎebɾit/ [ɣamʎebɯit],nin.,swamp
gan,/ɣan/,v.,curse
gavharlei,/ɣaɸaɾʎeɟ/,v.,think; expect; analyze; ponder; predict; anticipate; assume; presume; inspect; examine
gavharlejan,/ɣaɸaɾʎeɟan/,nin.,thought
gavhbot,/ɣaɸbot/,nin.,vocabulary
gavhmaz,/ɣaɸmaθ/ [ɣaɸmas],nin.,arch; arc
gazejoch,/ɣaθeɟoʧ/,v.,turn on
ge,/ɣe/,v.,agree
gean,/ɣean/,nin.,agreement
geasrub,/ɣeasɾub/ [ɣeasɯub],nan.,wolf
gebad,/ɣebad/,nan.,camel
ged,/ɣed/,nin.,lava
gedeshra,/ɣedeʃɾa/ [ɣedeʃɯa],part.,undefined
gedkadih,/ɣedkadih/ [ɣedkadi],adj.,naive; ignorant
gëik,/ɣeik/,nan.,frog
geiluvhrim,/ɣeɟʎuɸɾim/ [ɣeɟʎuɸɯim],nin.,liquor
geja,/ɣeɟa/,adj.,corrupt
gel,/ɣeʎ/,det.,no
gelno,/ɣeʎno/,nin.,hay
gem,/ɣem/,interj.,hello
gemksa,/ɣemksa/,v.,admit; affirm
gemkso,/ɣemkso/,nin.,perfume
gengaib,/ɣenɣaib/,v.,calculate
genobmez,/ɣenobmeθ/ [ɣenobmes],nin.,paint
genshu,/ɣenʃu/,adj.,early
geod,/ɣeod/,nan.,guest
gepidgom,/ɣepidɣom/,nin.,island
gepuson,/ɣepuson/,v.,delay; postpone
ges,/ɣes/,v.,deploy
geukje,/ɣeukɟe/,v.,sustain
gevhgii,/ɣeɸɣiɟ/,nin.,style; fashion; kind
gevhgijo,/ɣeɸɣiɟo/,adj.,fashionable
gezi,/ɣeθi/,nin.,hour; time
gi,/ɣi/,pron.,something
gi,/ɣi/,det.,to the; to some
gibab,/ɣibab/,nin.,stump; log
gibnid,/ɣibnid/,v.,float
gibnid neosh,/ɣibnid neoʃ/,nin.,raft
gibzo,/ɣibθo/,conj.,while
giebne,/ɣiebne/,nin.,rubble; debris
giel,/ɣieʎ/,nin.,chest
gigozod,/ɣiɣoθod/,v.,set
gihaab,/ɣihaab/ [ɣihaːb],nin.,jar
giiksimu,/ɣiɟksimu/,nin.,gauge
giksoles,/ɣiksoʎes/,v.,illuminate
gim,/ɣim/,adj.,great (excellent); awesome
gimez,/ɣimeθ/ [ɣimes],nin.,diary
gimiszi,/ɣimisθi/,prep.,with (accompanied by)
gipoi,/ɣipoɟ/,nan.,girlfriend
giuz,/ɣiuθ/ [ɣius],v.,evolve
giva,/ɣiva/,nin.,almond
givhe,/ɣiɸe/,adj.,stable; steady; calm
givheom,/ɣiɸeom/,v.,balance
givuz,/ɣivuθ/ [ɣivus],v.,draw; mark
givuzo,/ɣivuθo/,nin.,drawing
giz,/ɣiθ/ [ɣis],prep.,onto
gizru,/ɣiθɾu/ [ɣiθɯu],v.,speculate
go,/ɣo/,det.,such
gobdo,/ɣobdo/,nin.,intestine
gobi,/ɣobi/,nin.,custom
godguii,/ɣodɣuiɟ/,v.,moan; sigh
goed,/ɣoed/,part.,undefined
goi,/ɣoɟ/,nin.,plateau
goi,/ɣoɟ/,det.,with/using the; with/using a
goic'ez,/ɣoɟʧeθ/ [ɣoɟʧes],nin.,hangover
goivhal,/ɣoɟɸaʎ/,nin.,coffin
gojivhvi,/ɣoɟiɸvi/,v.,teach; instruct; educate; coach
gol,/ɣoʎ/,v.,suppress; inhibit; squash
golav,/ɣoʎav/ [ɣoʎaɸ],v.,must; have to
golozvhe,/ɣoʎoθɸe/,adv.,almost
gom,/ɣom/,nin.,catastrophe
gomku,/ɣomku/,nin.,area; region; territory
gon,/ɣon/,adj.,funny
gonazom,/ɣonaθom/,v.,review; analyze
gonazoman,/ɣonaθoman/,nin.,analysis
gonegraz,/ɣoneɣɾaθ/ [ɣoneɣɯas],adj.,fuzzy
gor,/ɣoɾ/,adj.,unique
gorvumud,/ɣoɾvumud/,nin.,specimen
gos,/ɣos/,nin.,wall
gotis,/ɣotis/,nin.,raid
goushil,/ɣouʃiʎ/,v.,access
govhesbin,/ɣoɸesbin/,nin.,blanket
goz,/ɣoθ/ [ɣos],nan.,god; idol
gozid,/ɣoθid/,nan.,hero; celebrity; protagonist; idol
gozmot,/ɣoθmot/,nin.,level (degree; stage)
gozunlo,/ɣoθunʎo/,v.,lean; tilt; bow (greet)
gu,/ɣu/,v.,do; make; produce (manufacture); generate; prepare; compose; earn; organize; induce; cause
gubdal,/ɣubdaʎ/,nin.,curtain; veil
guc'evhe,/ɣuʧeɸe/,nin.,gum
gudobad,/ɣudobad/,v.,boil; simmer
guev,/ɣuev/,nin.,spur
gujab,/ɣuɟab/,nan.,police
guldon,/ɣuʎdon/,nin.,comment
gulgis,/ɣuʎɣis/,v.,ring
gulinir,/ɣuʎiniɾ/,adj.,live
gunlu,/ɣunʎu/,nin.,analogy
guochkum,/ɣuoʧkum/,nin.,brick
guot,/ɣuot/,nin.,job
gurkso,/ɣuɾkso/,v.,burst; erupt
gus,/ɣus/,v.,sponsor
gusksi,/ɣusksi/,nin.,hose; pipe
gusvhaash,/ɣusɸaaʃ/ [ɣusɸaːʃ],nin.,moon; month
guui,/ɣuuɟ/ [ɣuːɟ],nin.,factory
ha,/ha/,v.,return; go back
haan,/haan/ [haːn],nin.,return
haesh,/haeʃ/,v.,prick
hai,/haɟ/,v.,excel
hajos,/haɟos/,part.,undefined
halanzus,/haʎanθus/,v.,bang
halba,/haʎba/,nin.,dune
hansovhpa,/hansoɸpa/,nin.,grade
har,/haɾ/,nin.,flower
has,/has/,nan.,niece
hatap,/hatap/,nin.,berry
hate,/hate/,nin.,snake
havhksi,/haɸksi/,nin.,clothes; clothing
heb,/heb/,v.,poise
hec'im,/heʧim/,nin.,steam
hei,/heɟ/,v.,put (place); put on
heksi,/heksi/,nin.,toilet
helsud,/heʎsud/,nin.,face; forehead; brow; side; expression; facade
heriso,/heɾiso/,nan.,lesbian
hersu,/heɾsu/,adv.,nowadays
hevhup,/heɸup/,nin.,chief; boss
hevhup,/heɸup/,nan.,leader
hezit,/heθit/,v.,gain
hezjuisu,/heθɟuɟsu/,nin.,tide
hi,/hi/,nan.,sister
hic'e,/hiʧe/,v.,prepare
hic'ean,/hiʧean/,nin.,preparation
hiksi,/hiksi/,nin.,ink
hiledib,/hiʎedib/,nin.,item
hir,/hiɾ/,adv.,also; as well
hishaz,/hiʃaθ/ [hiʃas],nin.,folder
hisur,/hisuɾ/,nin.,fruit
hit,/hit/,v.,spoil; indulge
hit,/hit/,det.,the; some
hivumum,/hivumum/,nin.,hood
hizensho,/hiθenʃo/,v.,endorse
ho,/ho/,v.,cook (prepare food)
hod,/hod/,nin.,pumpkin
hoedek,/hoedek/,v.,measure; compare
hoiksaiv,/hoɟksaiv/ [hoɟksaiɸ],nin.,margin
hoili,/hoɟʎi/,v.,advertise
hoilian,/hoɟʎian/,nin.,advertisement
hon,/hon/,nin.,wind; breeze
hootkso,/hootkso/ [hoːtkso],nin.,ear
hor,/hoɾ/,adj.,confident; certain
horob,/hoɾob/,nin.,confidence
hortoom,/hoɾtoom/ [hoɾtoːm],nin.,heaven; paradise
hot,/hot/,adj.,sensible
hu,/hu/,nin.,sheet
hublu,/hubʎu/,v.,leak; sink
hueshgu,/hueʃɣu/,nin.,penis
hujuigi,/huɟuɟɣi/,v.,situate
huned,/huned/,nin.,sweetheart
huse,/huse/,nin.,magnet
hushuslo,/huʃusʎo/,adj.,cool (slightly cold)
hutnano,/hutnano/,nin.,alcohol
ib,/ib/,v.,affect
ibas,/ibas/,nin.,fire
ibas rinzëii,/ibas ɾinθeiɟ/ [ibas ɾinθeːɟ],nin.,train
ibc'ot,/ibʧot/,nin.,drama
ibeg,/ibeɣ/,v.,leap
ibevza,/ibevθa/,nin.,sample
ibksoror,/ibksoɾoɾ/,nin.,puddle
ibksu,/ibksu/,adj.,fun
ibksuob,/ibksuob/,nin.,fun
ibpitkse,/ibpitkse/,nin.,collar
ibshesti,/ibʃesti/,nin.,square
ibte,/ibte/,nin.,compost; fertilizer
ibutet,/ibutet/,nin.,spear; lance; pike
ic'im,/iʧim/,v.,enforce
ic'ui,/iʧuɟ/,nin.,fog
ich,/iʧ/,nin.,topic; theme
ichbui,/iʧbuɟ/,adj.,only
ichlujii,/iʧʎuɟiɟ/,adj.,reluctant
ichnava,/iʧnava/,nin.,artillery
id,/id/,det.,more
idel,/ideʎ/,nin.,nut
idpa,/idpa/,nin.,appetite
idvhi,/idɸi/,v.,show off
ig,/iɣ/,adj.,current
igachle,/iɣaʧʎe/,nin.,dynamics
igeivhei,/iɣeɟɸeɟ/,nin.,clinic
igranlen,/iɣɾanʎen/ [iɣɯanʎen],nin.,version
ih,/ih/ [i],v.,hunt; stalk
ihgo,/ihɣo/ [iɣo],nin.,fort; castle
ihim,/ihim/,adv.,just; barely; only; hardly
ihju,/ihɟu/ [iɟu],v.,forgive; excuse; pardon
ihksukso,/ihksukso/ [iksukso],v.,try (strive); struggle
ihshaksa,/ihʃaksa/ [iʃaksa],v.,thrust; propel
ii,/iɟ/,v.,keep (save; retain); save
ii,/iɟ/,det.,the; some
iic'ejal,/iɟʧeɟaʎ/,v.,spell
iic'ejalo,/iɟʧeɟaʎo/,nan.,spelling
iigatkui,/iɟɣatkuɟ/,nin.,paper; contract; pact
ijanrol,/iɟanɾoʎ/ [iɟanɯoʎ],nin.,bass
ijavvhez,/iɟavɸeθ/ [iɟavɸes],adj.,cool (fashionable)
ik,/ik/,nan.,person
ika,/ika/,part.,adjective reference marker: {adj} + part {modified noun}
ikach,/ikaʧ/,nin.,destination
ikainur,/ikaɟnuɾ/,nan.,host
ikav,/ikav/ [ikaɸ],nin.,project
iklun,/ikʎun/,nan.,acquaintance
iknutar,/iknutaɾ/,nin.,update
ikoc / vegorec,/ikoc / veɣoɾec/ [ikos / veɣoɾes],pron.,I; me; mine
ikohmaz,/ikohmaθ/ [ikomas],v.,intend
ikpisvat,/ikpisvat/,nin.,ray (of light)
iksud,/iksud/,v.,crouch; lurk
iktetra,/iktetɾa/ [iktetɯa],adj.,right; correct; true; appropriate
ikujus,/ikuɟus/,v.,reign; command; dominate
il,/iʎ/,nin.,letter (of an alphabet)
ilakoc / darei,/iʎakoc / daɾeɟ/ [iʎakos / daɾeɟ],pron.,we; us; ours
ilash,/iʎaʃ/,nin.,ammunition
ilaz,/iʎaθ/ [iʎas],adj.,crisp
ileroc / durei,/iʎeɾoc / duɾeɟ/ [iʎeɾos / duɾeɟ],pron.,they; them; theirs
ili,/iʎi/,nin.,alphabet
ilipoc / dorei,/iʎipoc / doɾeɟ/ [iʎipos / doɾeɟ],pron.,you all; yours (pl)
ilritoi,/iʎɾitoɟ/ [iʎɯitoɟ],nin.,arm; hand; branch (tree part)
ilsen,/iʎsen/,pron.,everybody
ilvaav,/iʎvaav/ [iʎvaːv],adv.,off
im,/im/,nin.,dirt
imbisem,/imbisem/,nin.,map; layout
imkserab,/imkseɾab/,nin.,heel
imksuuv,/imksuuv/ [imksuːv],adv.,where
imlirgun,/imʎiɾɣun/,nin.,creek
imo,/imo/,adj.,dirty
in,/in/,nin.,butter
in,/in/,part.,perfect aspect marker: {verb} + part
ined,/ined/,nan.,amateur; novice; rookie
inek,/inek/,nin.,syrup
inkilin,/inkiʎin/,v.,rise; lift; escalate; grow
inler,/inʎeɾ/,adj.,clear; transparent
inog,/inoɣ/,v.,hit; beat (strike); punch; collide
inosh,/inoʃ/,adj.,external
insu,/insu/,part.,undefined
inugvhi,/inuɣɸi/,nin.,nest
invhoksu,/inɸoksu/,v.,scrutinize
ip,/ip/,prep.,at
ipash,/ipaʃ/,nin.,drill
ipc'ar,/ipʧaɾ/,adj.,stiff; sturdy
ipet,/ipet/,nin.,stew
ipksarim,/ipksaɾim/,adj.,eager
ipksivam,/ipksivam/,nin.,attitude
ipkso,/ipkso/,v.,oppress
ipksu,/ipksu/,v.,vary; differ
ipoc / venorec,/ipoc / venoɾec/ [ipos / venoɾes],pron.,you; yours
ipolksu,/ipoʎksu/,nin.,military
ipopdo,/ipopdo/,v.,substitute
iprab,/ipɾab/ [ipɯab],v.,snatch
ipuk,/ipuk/,nin.,thing; stuff; item
ir,/iɾ/,num.,nine
ir,/iɾ/,conj.,until
irdezuz,/iɾdeθuθ/ [iɾdeθus],v.,cover up
irdiigu,/iɾdiɟɣu/,nin.,quilt
irgaz,/iɾɣaθ/ [iɾɣas],v.,respect
irgaz,/iɾɣaθ/ [iɾɣas],nin.,respect
irkot,/iɾkot/,nin.,apology
irksi,/iɾksi/,v.,rally
irku,/iɾku/,v.,say; tell; mention; express
irlimbii,/iɾʎimbiɟ/,nin.,cleavage
irnoap,/iɾnoap/,nin.,canal
irnuir,/iɾnuiɾ/,v.,illustrate; describe; manifest
iroc / velorec,/iɾoc / veʎoɾec/ [iɾos / veʎoɾes],pron.,he; him; his; she; her; hers
irsit,/iɾsit/,nin.,document
irun,/iɾun/,v.,lend; loan
is,/is/,v.,wonder
iseg,/iseɣ/,nin.,button (fastener for clothing)
ish,/iʃ/,prep.,along
ishelmer,/iʃeʎmeɾ/,nin.,desert
ishochmu,/iʃoʧmu/,v.,blush
ishubtei,/iʃubteɟ/,nin.,rice; grain
ishus,/iʃus/,v.,strive
ishuzih,/iʃuθih/ [iʃuθi],adv.,together
ishvewaz,/iʃvewaθ/ [iʃvewas],v.,chop
ishvheos,/iʃɸeos/,nin.,cathedral
isogje,/isoɣɟe/,nin.,picnic
issetis,/issetis/ [iʃetis],adj.,fragile
it,/it/,adv.,how
ital,/itaʎ/,v.,sway; convince
itez,/iteθ/ [ites],nin.,section; segment
itksepa,/itksepa/,adj.,spontaneous
itkso,/itkso/,nin.,petal
itksovhur,/itksoɸuɾ/,nan.,friend
itksovhuro,/itksoɸuɾo/,adj.,friendly
itksuped,/itksuped/,v.,elevate
itksupedo,/itksupedo/,nin.,elevation
itmi,/itmi/,nin.,cupboard
itsaai,/itsaaɟ/ [itsaːɟ],nan.,neighbor
iv,/iv/,v.,shake; tremble; rattle; shiver
ivas,/ivas/,nin.,treason
ivhapkse,/iɸapkse/,nin.,office
ivhc'ez,/iɸʧeθ/ [iɸʧes],nin.,plane
ivhgaob,/iɸɣaob/,nin.,proof
ivhgaoba,/iɸɣaoba/,v.,prove
ivhku,/iɸku/,nin.,cheese
ivhoszet,/iɸosθet/,v.,display; demonstrate; reveal
ivhtiii,/iɸtiiɟ/,nin.,embryo
ivhumog,/iɸumoɣ/,nan.,lobster
ivhushii,/iɸuʃiɟ/,nan.,son
ivksu,/ivksu/,nin.,harvest
ivosai,/ivosaɟ/,nin.,torch; lamp
ivpurit,/ivpuɾit/,adj.,volatile
ivshut,/ivʃut/,nin.,shoulder
ivvhisa,/ivɸisa/,num.,first
iwoh,/iwoh/ [iwo],prep.,beside
iz,/iθ/ [is],nin.,head
iz ok,/iθ ok/ [is ok],nin.,skull
izeb,/iθeb/,adj.,ambiguous; obscure
izem,/iθem/,v.,walk
izivhon,/iθiɸon/,nan.,athlete
izked,/iθked/,nin.,diner
izkitet,/iθkitet/,v.,infect
izkiteto,/iθkiteto/,nin.,infection
izkseok,/iθkseok/,nin.,buttocks
izoz,/iθoθ/ [iθos],nin.,flake
izusvi,/iθusvi/,nin.,scandal
ja,/ɟa/,nin.,road; street; avenue
ja,/ɟa/,det.,the; a
jabksuez,/ɟabksueθ/ [ɟabksues],v.,visit; attend; show up
jabsu,/ɟabsu/,nan.,zombie
jabtora,/ɟabtoɾa/,v.,protest; complain
jad,/ɟad/,v.,state; declare; say
jadilem,/ɟadiʎem/,nin.,logo
jaen,/ɟaen/,nin.,committee
jahi,/ɟahi/,nin.,conference
jaid,/ɟaid/,nan.,dictator
jal,/ɟaʎ/,det.,to the; to some
jalarksu,/ɟaʎaɾksu/,nin.,anxiety
jalarksuvh,/ɟaʎaɾksuɸ/,adj.,anxious
james,/ɟames/,adj.,internal; interior
jamesob,/ɟamesob/,nin.,interior
jamo,/ɟamo/,num.,nine
jan,/ɟan/,v.,tumble
janöi {word}, {part} nëi,/janoi {word}, {part} nei/,part.,negation marker: {no} + part; part + {not}
jaoi,/ɟaoɟ/,adj.,single
jas,/ɟas/,adj.,loose; easy
jasirad,/ɟasiɾad/,nin.,calf
jaskizjol,/ɟaskiθɟoʎ/,nin.,mustache
javhad,/ɟaɸad/,nin.,lesson; lecture
javhes,/ɟaɸes/,v.,blame; criticize; attribute
javhesa,/ɟaɸesa/,adj.,guilty
javhesa,/ɟaɸesa/,adj.,critical
javheso,/ɟaɸeso/,nin.,critique
javhim,/ɟaɸim/,nin.,shame; stigma
javhsha,/ɟaɸʃa/,nin.,bill; check
jazledro,/ɟaθʎedɾo/ [ɟaθʎedɯo],v.,avoid; escape
je,/ɟe/,nin.,window; view; vision; panorama
jeb,/ɟeb/,v.,row
jed,/ɟed/,v.,see; understand; realize; watch; discover; grasp; look; monitor; spectate; read; perceive; recognize; notice; date; go out; clutch; grip
jedan,/ɟedan/,nin.,discovery
jedan,/ɟedan/,nin.,perception
jede,/ɟede/,nin.,bean
jedivhim,/ɟediɸim/,v.,decay; deteriorate
jegivhes,/ɟeɣiɸes/,nin.,visit
jelge,/ɟeʎɣe/,nin.,banner
jelgozim,/ɟeʎɣoθim/,nin.,law
jelmion,/ɟeʎmion/,nin.,medium
jelur,/ɟeʎuɾ/,nin.,vehicle
jen,/ɟen/,adv.,later
jenitsoz,/ɟenitsoθ/ [ɟenitsos],v.,lie
jenitsoz,/ɟenitsoθ/ [ɟenitsos],nin.,lie
jepu,/ɟepu/,v.,guard
jer,/ɟeɾ/,nin.,sausage
jeratuk,/ɟeɾatuk/,nin.,melody; tune
jerbozu,/ɟeɾboθu/,v.,remember; recognize
jerbozuan,/ɟeɾboθuan/,nin.,memory
jerbozuan,/ɟeɾboθuan/,nin.,recognition
jerepin,/ɟeɾepin/,nin.,wrist; ankle
jerepin anonksi,/ɟeɾepin anonksi/,nin.,bracelet
jerkso,/ɟeɾkso/,v.,ignore; neglect; overlook
jervaz,/ɟeɾvaθ/ [ɟeɾvas],nin.,dinner
jes,/ɟes/,adj.,recent
jesep,/ɟesep/,nin.,survey
jetc'avhmiz,/ɟetʧaɸmiθ/ [ɟetʧaɸmis],nin.,trip; tour
jeug,/ɟeuɣ/,adj.,crazy; insane; absurd
jeur,/ɟeuɾ/,v.,save (put aside)
jevhksaei,/ɟeɸksaeɟ/,adj.,certain; sure
jevhksaeju,/ɟeɸksaeɟu/,adv.,certainly
jevhmëich,/ɟeɸmeiʧ/ [ɟeɸmeːʧ],nin.,day; date; light; world; earth; planet
jevhmëich iv,/ɟeɸmeiʧ iv/ [ɟeɸmeiʧ iɸ],nin.,earthquake
jevhud,/ɟeɸud/,adj.,bald
jevhvavhem,/ɟeɸvaɸem/,nin.,statistic
jevutlo,/ɟevutʎo/,num.,third
jewa,/ɟewa/,v.,arrest; capture
jezpeini,/ɟeθpeɟni/,nin.,ledge
ji,/ɟi/,det.,which
ji,/ɟi/,pron.,which
jidom,/ɟidom/,nin.,hotel
jilanro,/ɟiʎanɾo/ [ɟiʎanɯo],adj.,awkward
jim,/ɟim/,nin.,politics
jindotpui,/ɟindotpuɟ/,adv.,as
jipor,/ɟipoɾ/,nin.,blood
jipora,/ɟipoɾa/,v.,bleed
jiporo,/ɟipoɾo/,adj.,bloody
jirer,/ɟiɾeɾ/,nin.,ice
jirer objeksu,/ɟiɾeɾ obɟeksu/,nin.,glacier
jirperan,/ɟiɾpeɾan/,nin.,bread
jit,/ɟit/,v.,cure
jivhab,/ɟiɸab/,nin.,breast
jivhimed,/ɟiɸimed/,nin.,economy
jivhsuor,/ɟiɸsuoɾ/,nin.,purpose; ambition
jivomam,/ɟivomam/,nin.,group; crowd; society
jiwi,/ɟiwi/,nin.,clan; kin
jizgas,/ɟiθɣas/,nin.,disease; plague
jo,/ɟo/,nan.,culture; tradition
joap,/ɟoap/,nin.,heritage
joash,/ɟoaʃ/,v.,chat
jode,/ɟode/,nin.,way; manner; course (direction of travel)
jodjazel,/ɟodɟaθeʎ/,adj.,true; honest; sincere; innocent; earnest; wholesome
jodjazelob,/ɟodɟaθeʎob/,nin.,truth
jodza,/ɟodθa/,adj.,serial
jogui,/ɟoɣuɟ/,v.,apply
joi,/ɟoɟ/,adv.,yet
jokauch,/ɟokauʧ/,nin.,cloud; mist
jon,/ɟon/,adj.,common; frequent; normal; regular; medium
jonsit,/ɟonsit/,nin.,usher
jopem,/ɟopem/,v.,certify
jopemo,/ɟopemo/,nin.,certificate
joro,/ɟoɾo/,adj.,triple
josadud,/ɟosadud/,nin.,twilight
josuhol,/ɟosuhoʎ/,adj.,consistent
ju,/ɟu/,adj.,black
juavri,/ɟuavɾi/ [ɟuavɯi],nin.,oil; grease
jubvivhoi,/ɟubviɸoɟ/,nin.,state (condition); condition (state)
judo,/ɟudo/,v.,feel (perceive; sense); feel (sense by touch)
judoan,/ɟudoan/,nin.,feeling
juis,/ɟuis/,v.,abolish
jujai,/ɟuɟaɟ/,v.,beg
jujinok,/ɟuɟinok/,nin.,remains; remnant
jujis,/ɟuɟis/,nin.,strip; ribbon; tape
jukseor,/ɟukseoɾ/,nan.,ambassador
jul,/ɟuʎ/,nin.,dash
jul,/ɟul/,part.,undefined
jum,/ɟum/,v.,navigate
jumug,/ɟumuɣ/,v.,upset; disturb
juob,/ɟuob/,nin.,garden; park
juosh,/ɟuoʃ/,nin.,bank (river)
juzahnu,/ɟuθahnu/ [ɟuθanu],nin.,frame; hull; torso; trunk (of tree)
juzksu,/ɟuθksu/,v.,defecate
juzshapom,/ɟuθʃapom/,nin.,shooting star
ka,/ka/,adj.,best
kad,/kad/,v.,drown; suffocate
kad,/kad/,num.,four
kadam,/kadam/,nin.,rival
kagusit,/kaɣusit/,nin.,century
kai,/kaɟ/,nin.,boat; ship
kaich,/kaiʧ/,v.,get; obtain; take
kajo,/kaɟo/,adv.,once
kalbavu,/kaʎbavu/,nin.,channel (of water)
kalejom,/kaʎeɟom/,nin.,glue; paste
kaop,/kaop/,v.,stretch
kaosnus,/kaosnus/,v.,smirk
kareg,/kaɾeɣ/,nin.,candidate
kargob,/kaɾɣob/,v.,smell (emit odor); stink
kavhgub,/kaɸɣub/,nin.,hurricane
kaz,/kaθ/ [kas],nin.,tongue; language; dialect; voice
kazksili,/kaθksiʎi/,adv.,up
kazksili,/kaθksiʎi/,prep.,up
kead,/kead/,adj.,aroused (sexually)
kean,/kean/,nin.,edge; limit; border; boundary; fringe; verge; perimeter
kei,/keɟ/,v.,supply
kejelka,/keɟeʎka/,nin.,coin; currency
keksu,/keksu/,adj.,sweet
kel,/keʎ/,v.,turn; wind
kemuiger,/kemuɟɣeɾ/,nin.,cult
kenod,/kenod/,nin.,plate; tray; platter
keras,/keɾas/,adj.,bad; evil
kerksi,/keɾksi/,v.,solve; figure out; deduce; calculate
kerpor,/keɾpoɾ/,v.,invent
kerzui,/keɾθuɟ/,v.,distinguish
ketodod,/ketodod/,v.,go down; descend
kettun,/kettun/ [ketun],nin.,bed
kevez,/keveθ/ [keves],nan.,man; husband; boyfriend
kevhezsil,/keɸeθsiʎ/,nin.,membrane
kevhkub,/keɸkub/,v.,roast
kevhpubat,/keɸpubat/,adj.,sharp; acute
ki,/ki/,v.,hope; wish
kian,/kian/,nin.,hope
kiatnisan,/kiatnisan/,nan.,thief
kibebze,/kibebθe/,nan.,farmer
kibksu,/kibksu/,v.,dance
kidadgu,/kidadɣu/,nan.,owner
kidedamkse,/kidedamkse/,nan.,lover
kidepimdib vushu,/kidepimdib vuʃu/,nan.,psychologist
kidgin,/kidɣin/,nin.,mess
kidgino,/kidɣino/,adj.,messy
kidit,/kidit/,v.,conquer
kiditan,/kiditan/,nin.,conquest
kiegug,/kieɣuɣ/,nan.,tourist
kiehpid,/kiehpid/ [kiepid],nan.,employer
kieidubro,/kieɟdubɾo/ [kieɟdubɯo],nin.,container
kiepum,/kiepum/,nan.,killer
kieshot,/kieʃot/,nan.,warrior
kievhpib,/kieɸpib/,nan.,sailor
kiezamso,/kieθamso/,nan.,locksmith
kiezpobub,/kieθpobub/,nan.,prisoner
kigenobmez,/kiɣenobmeθ/ [kiɣenobmes],nan.,painter
kigojivhvi,/kiɣoɟiɸvi/,nan.,teacher
kihar,/kihaɾ/,nan.,florist
kiih,/kiih/ [kii],nin.,hunter
kiili,/kiɟʎi/,nin.,spine
kiipksu,/kiipksu/,nin.,variable
kijabksuez,/kiɟabksueθ/ [kiɟabksues],nan.,visitor
kijelgozim,/kiɟeʎɣoθim/,nan.,lawyer
kijenitsoz,/kiɟenitsoθ/ [kiɟenitsos],nan.,liar
kijim,/kiɟim/,nan.,politician
kijuob,/kiɟuob/,nan.,gardener
kikedep,/kikedep/,nin.,feather; pen
kikibksu,/kikibksu/,nan.,dancer
kiksaup,/kiksaup/,v.,scratch; scrape; scoop
kiksedebok,/kiksedebok/,nin.,muscle
kikseev,/kikseev/ [kikseeɸ],v.,panic
kiksiazte,/kiksiaθte/,nan.,wizard
kiksivhaksa,/kiksiɸaksa/,nan.,trader
kiksowi,/kiksowi/,nin.,terror
kilazeivha,/kiʎaθeɟɸa/,nan.,poet
kilmaech,/kiʎmaeʧ/,v.,complain; criticize
kiluuzan,/kiʎuuθan/ [kiʎuːθan],nan.,ruler
kimenpa,/kimenpa/,nan.,player
kimksu,/kimksu/,nin.,salt
kimvhokso,/kimɸokso/,v.,identify; point out
kinjosui,/kinɟosuɟ/,v.,inflict; impose
